Journal,Documentos,Porcentaje
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,15,4.48
Frontiers in Education,12,3.58
Education Sciences,12,3.58
Research in Science and Technological Education,8,2.39
International Journal of Science Education,7,2.09
Journal of Science Education and Technology,6,1.79
Journal of Research in Science Teaching,6,1.79
Science Education International,6,1.79
EDUCATION SCIENCES,6,1.79
RESEARCH IN SCIENCE EDUCATION,6,1.79
Jurnal Pendidikan IPA Indonesia,5,1.49
"Eurasia Journal of Mathematics, Science and Technology Education",5,1.49
JOURNAL OF RESEARCH IN SCIENCE TEACHING,5,1.49
JOURNAL OF CHEMICAL EDUCATION,5,1.49
Disciplinary and Interdisciplinary Science Education Research,4,1.19
New Perspectives in Science Education - International Conference,4,1.19
JOURNAL OF BALTIC SCIENCE EDUCATION,4,1.19
ENVIRONMENTAL EDUCATION RESEARCH,4,1.19
INTERACTIVE LEARNING ENVIRONMENTS,4,1.19
Discover Education,3,0.9
