"Journal","Documentos","Porcentaje"
"INTERNATIONAL JOURNAL OF SCIENCE EDUCATION",19,5.92
"EDUCATION SCIENCES",15,4.67
"FRONTIERS IN EDUCATION",13,4.05
"JOURNAL OF RESEARCH IN SCIENCE TEACHING",10,3.12
"RESEARCH IN SCIENCE EDUCATION",9,2.8
"JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY",8,2.49
"RESEARCH IN SCIENCE \& TECHNOLOGICAL EDUCATION",7,2.18
"SCIENCE EDUCATION INTERNATIONAL",6,1.87
"ENVIRONMENTAL EDUCATION RESEARCH",5,1.56
"EURASIA JOURNAL OF MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCATION",5,1.56
"INTERACTIVE LEARNING ENVIRONMENTS",5,1.56
"JOURNAL OF CHEMICAL EDUCATION",5,1.56
"JOURNAL OF COMPUTER ASSISTED LEARNING",5,1.56
"JURNAL PENDIDIKAN IPA INDONESIA",5,1.56
"CHEMISTRY EDUCATION RESEARCH AND PRACTICE",4,1.25
"DISCIPLINARY AND INTERDISCIPLINARY SCIENCE EDUCATION RESEARCH",4,1.25
"EDUCATION AND INFORMATION TECHNOLOGIES",4,1.25
"JOURNAL OF BALTIC SCIENCE EDUCATION",4,1.25
"NEW PERSPECTIVES IN SCIENCE EDUCATION - INTERNATIONAL CONFERENCE",4,1.25
"RESEARCH IN SCIENCE AND TECHNOLOGICAL EDUCATION",4,1.25
