"year_clean","Assessment & Evaluation","Conceptual Understanding","Equity & Social Justice","Inquiry-Based Science Education","STEM Integration","Scientific Literacy","Teacher Professional Development","Technology-Enhanced Learning","Environmental Education"
2016,4,1,1,4,3,1,0,0,0
2017,2,1,0,2,1,0,2,0,0
2018,1,0,0,5,3,2,0,0,0
2019,1,0,0,5,1,4,3,1,0
2020,0,1,3,5,2,1,0,0,1
2021,0,0,2,15,1,2,3,1,3
2022,2,2,3,13,3,3,4,5,2
2023,2,1,4,10,3,6,2,5,7
2024,2,2,2,13,3,0,7,5,18
2025,6,6,5,13,10,1,7,3,41
2026,0,0,0,3,2,0,1,0,6
